incident_num,shooting_date,district,victim_gender,victim_race,multi_victim,v_hispanic_or_latinx,fatal,district_name
I172090526,2017-10-29 20:22:00+00,C6,Male,Black or African American,f,FALSE,TRUE,South Boston
I172089911,2017-10-27 18:49:00+00,B2,Female,Black or African American,f,FALSE,FALSE,Roxbury
I172089929,2017-10-27 18:59:00+00,B2,Female,Black or African American,t,TRUE,FALSE,Roxbury
I172089929,2017-10-27 18:59:00+00,B2,Male,White,t,TRUE,FALSE,Roxbury
I172089961,2017-10-27 21:42:00+00,B3,Female,Black or African American,f,FALSE,FALSE,Mattapan
I172089976,2017-10-27 22:45:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I172090013,2017-10-28 01:03:00+00,B3,Male,Black or African American,t,FALSE,FALSE,Mattapan
I172090013,2017-10-28 01:03:00+00,B3,Male,Black or African American,t,FALSE,FALSE,Mattapan
I172090013,2017-10-28 01:03:00+00,B3,Male,Black or African American,t,FALSE,FALSE,Mattapan
I172090493,2017-10-29 18:24:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I172091222,2017-10-31 23:47:00+00,E13,Male,Black or African American,f,FALSE,TRUE,Jamaica Plain
I172093007,2017-11-06 20:05:00+00,D4,Male,Black or African American,f,FALSE,TRUE,South End
I172092857,2017-11-06 21:03:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I172093656,2017-11-09 01:26:00+00,B2,Male,Asian,f,FALSE,FALSE,Roxbury
I172093639,2017-11-08 22:13:00+00,E5,Male,Black or African American,f,FALSE,FALSE,West Roxbury
I172093639,2017-11-09 23:17:48+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I172096494,2017-11-19 16:09:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I172096406,2017-11-18 20:09:00+00,E18,Male,Black or African American,f,FALSE,FALSE,Hyde Park
I172096197,2017-11-18 00:27:00+00,E5,Male,Black or African American,f,FALSE,FALSE,West Roxbury
I172098079,2017-11-25 14:11:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I172098008,2017-11-25 06:42:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I172097866,2017-11-24 16:13:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I172098716,2017-11-27 23:19:00+00,C6,Male,White,t,TRUE,TRUE,South Boston
I172098716,2017-11-27 23:19:00+00,C6,Male,White,t,TRUE,FALSE,South Boston
I172099946,2017-12-01 23:47:02+00,C11,Male,Black or African American,f,FALSE,TRUE,Dorchester
I172099808,2017-12-01 14:00:58+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I172100477,2017-12-03 19:45:04+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
172100800,2017-12-04 21:50:00+00,E18,Male,Black or African American,f,FALSE,FALSE,Hyde Park
I172101534,2017-12-07 13:18:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I172101621,2017-12-07 17:35:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I172101691,2017-12-07 19:45:00+00,B3,Male,White,f,TRUE,FALSE,Mattapan
I172101369,2017-12-06 19:50:00+00,B2,Male,White,t,TRUE,TRUE,Roxbury
I172101369,2017-12-06 19:50:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I172101369,2017-12-06 19:50:00+00,B2,Male,Black or African American,t,FALSE,TRUE,Roxbury
I172102399,2017-12-10 16:41:00+00,A7,Male,Black or African American,t,FALSE,TRUE,East Boston
I172102399,2017-12-10 16:41:00+00,A7,Male,White,t,TRUE,FALSE,East Boston
I172102009,2017-12-09 00:21:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I172104058,2017-12-16 20:29:00+00,B2,Female,Black or African American,f,FALSE,FALSE,Roxbury
I172104020,2017-12-16 17:33:00+00,D14,Male,Black or African American,f,FALSE,FALSE,Brighton
I172104064,2017-12-16 21:09:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I172103321,2017-12-14 04:58:43+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I172104845,2017-12-19 19:16:00+00,C11,Male,Black or African American,f,FALSE,TRUE,Dorchester
I172105110,2017-12-20 16:57:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I172105110,2017-12-20 16:57:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I172106125,2017-12-24 21:08:00+00,B3,Male,Black or African American,f,FALSE,TRUE,Mattapan
I172106158,2017-12-25 01:11:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I172106098,2017-12-24 19:29:00+00,B2,Male,White,t,TRUE,FALSE,Roxbury
I172106098,2017-12-24 19:29:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I172105931,2017-12-23 22:45:00+00,C6,Male,Black or African American,f,FALSE,FALSE,South Boston
I172105897,2017-12-23 19:31:00+00,E18,Male,White,f,TRUE,FALSE,Hyde Park
I172107017,2017-12-28 23:25:18+00,E18,Male,Black or African American,t,FALSE,FALSE,Hyde Park
I172107017,2017-12-28 23:25:31+00,E18,Male,Black or African American,t,FALSE,FALSE,Hyde Park
I172107017,2017-12-28 23:25:09+00,E18,Male,Black or African American,t,FALSE,FALSE,Hyde Park
I172107441,2017-12-30 19:31:34+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182000200,2018-01-01 21:00:00+00,C6,Male,Black or African American,f,FALSE,FALSE,South Boston
I182002293,2018-01-09 21:23:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182002786,2018-01-11 13:46:00+00,B2,Male,Black or African American,f,FALSE,TRUE,Roxbury
I182002801,2018-01-11 14:03:00+00,B2,Male,Black or African American,t,FALSE,TRUE,Roxbury
I182002867,2018-01-11 19:14:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182002801,2018-01-11 14:03:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182002867,2018-01-11 19:14:00+00,B2,Male,Black or African American,t,TRUE,FALSE,Roxbury
I182003512,2018-01-13 21:31:47+00,D4,Male,Black or African American,t,FALSE,TRUE,South End
I182003512,2018-01-13 21:31:32+00,D4,Male,Black or African American,t,FALSE,FALSE,South End
I182003609,2018-01-14 10:57:33+00,D4,Male,White,f,TRUE,FALSE,South End
I182003714,2018-01-14 17:30:25+00,C11,Male,Black or African American,f,FALSE,TRUE,Dorchester
I182005329,2018-01-20 20:52:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182005519,2018-01-21 17:41:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182004802,2018-01-18 19:06:00+00,B3,Male,White,f,TRUE,FALSE,Mattapan
I182006824,2018-01-26 13:31:21+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182007254,2018-01-28 01:23:17+00,B3,Female,Black or African American,f,FALSE,FALSE,Mattapan
I182007236,2018-01-28 22:46:55+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182008316,2018-01-31 21:36:00+00,B2,Male,Black or African American,f,FALSE,TRUE,Roxbury
I182008982,2018-02-03 13:46:00+00,C11,Male,Black or African American,t,FALSE,TRUE,Dorchester
I182008982,2018-02-03 13:46:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182009897,2018-02-06 19:54:00+00,C11,Male,Black or African American,f,FALSE,TRUE,Dorchester
I182011422,2018-02-12 19:09:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182011931,2018-02-14 18:43:00+00,B2,Male,Black or African American,f,FALSE,TRUE,Roxbury
I182013270,2018-02-19 23:20:00+00,D14,Male,Black or African American,f,FALSE,FALSE,Brighton
I182012830,2018-02-17 23:18:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182012830,2018-02-17 23:18:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182013918,2018-02-22 00:13:00+00,C6,Male,White,f,TRUE,TRUE,South Boston
I182014711,2018-02-28 04:37:00+00,E13,Male,White,f,TRUE,FALSE,Jamaica Plain
I182014658,2018-02-24 21:51:00+00,B2,Female,Black or African American,f,TRUE,FALSE,Roxbury
I182019313,2018-03-14 16:12:00+00,B2,Female,Black or African American,t,FALSE,FALSE,Roxbury
I182019313,2018-03-14 16:12:00+00,B2,Male,White,t,TRUE,FALSE,Roxbury
I182022142,2018-03-25 02:48:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182022093,2018-03-24 21:11:00+00,E18,Male,Black or African American,f,FALSE,FALSE,Hyde Park
I182022623,2018-03-26 20:58:51+00,B2,Male,White,f,TRUE,FALSE,Roxbury
I182022956,2018-03-28 01:05:21+00,C11,Male,Black or African American,f,TRUE,FALSE,Dorchester
I182023744,2018-03-30 10:17:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182023600,2018-03-30 09:03:00+00,B2,Male,Black or African American,f,FALSE,TRUE,Roxbury
I182023966,2018-03-31 15:55:00+00,B3,Male,Black or African American,f,FALSE,TRUE,Mattapan
I182024317,2018-04-02 00:38:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182024815,2018-04-03 16:56:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182025114,2018-04-04 17:02:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
